neighbourhood,year,incident_count,level
Hastings-Sunrise,2023,96,0-99
Hastings-Sunrise,2024,80,0-99
Hastings-Sunrise,2025,69,0-99
Kensington-Cedar Cottage,2003,200,100-499
Kensington-Cedar Cottage,2004,253,100-499
Kensington-Cedar Cottage,2005,246,100-499
Kensington-Cedar Cottage,2006,255,100-499
Kensington-Cedar Cottage,2007,230,100-499
Kensington-Cedar Cottage,2008,246,100-499
Kensington-Cedar Cottage,2009,195,100-499
Kensington-Cedar Cottage,2010,175,100-499
Kensington-Cedar Cottage,2011,173,100-499
Kensington-Cedar Cottage,2012,170,100-499
Kensington-Cedar Cottage,2013,176,100-499
Kensington-Cedar Cottage,2014,152,100-499
Kensington-Cedar Cottage,2015,144,100-499
Kensington-Cedar Cottage,2016,119,100-499
Kensington-Cedar Cottage,2017,129,100-499
Kensington-Cedar Cottage,2018,113,100-499
Kensington-Cedar Cottage,2019,128,100-499
Kensington-Cedar Cottage,2020,126,100-499
Kensington-Cedar Cottage,2021,124,100-499
Kensington-Cedar Cottage,2022,143,100-499
Kensington-Cedar Cottage,2023,150,100-499
Kensington-Cedar Cottage,2024,128,100-499
Kensington-Cedar Cottage,2025,148,100-499
Kerrisdale,2003,27,0-99
Kerrisdale,2004,22,0-99
Kerrisdale,2005,27,0-99
Kerrisdale,2006,28,0-99
Kerrisdale,2007,15,0-99
Kerrisdale,2008,20,0-99
Kerrisdale,2009,30,0-99
Kerrisdale,2010,18,0-99
Kerrisdale,2011,15,0-99
Kerrisdale,2012,16,0-99
Kerrisdale,2013,27,0-99
Kerrisdale,2014,9,0-99
Kerrisdale,2015,11,0-99
Kerrisdale,2016,13,0-99
Kerrisdale,2017,12,0-99
Kerrisdale,2018,21,0-99
Kerrisdale,2019,10,0-99
Kerrisdale,2020,18,0-99
Kerrisdale,2021,21,0-99
Kerrisdale,2022,26,0-99
Kerrisdale,2023,23,0-99
Kerrisdale,2024,21,0-99
Kerrisdale,2025,20,0-99
Killarney,2003,65,0-99
Killarney,2004,76,0-99
Killarney,2005,73,0-99
Killarney,2006,87,0-99
Killarney,2007,92,0-99
Killarney,2008,70,0-99
Killarney,2009,58,0-99
Killarney,2010,68,0-99
Killarney,2011,71,0-99
Killarney,2012,77,0-99
Killarney,2013,58,0-99
Killarney,2014,57,0-99
Killarney,2015,54,0-99
Killarney,2016,46,0-99
Killarney,2017,63,0-99
Killarney,2018,38,0-99
Killarney,2019,54,0-99
Killarney,2020,61,0-99
Killarney,2021,56,0-99
Killarney,2022,58,0-99
Killarney,2023,61,0-99
Killarney,2024,61,0-99
Killarney,2025,46,0-99
Kitsilano,2003,103,100-499
Kitsilano,2004,116,100-499
Kitsilano,2005,103,100-499
Kitsilano,2006,104,100-499
Kitsilano,2007,119,100-499
Kitsilano,2008,112,100-499
Kitsilano,2009,92,0-99
Kitsilano,2010,77,0-99
Kitsilano,2011,77,0-99
Kitsilano,2012,86,0-99
Kitsilano,2013,69,0-99
Kitsilano,2014,47,0-99
Kitsilano,2015,51,0-99
Kitsilano,2016,93,0-99
Kitsilano,2017,70,0-99
Kitsilano,2018,71,0-99
Kitsilano,2019,60,0-99
Kitsilano,2020,64,0-99
Kitsilano,2021,63,0-99
Kitsilano,2022,54,0-99
Kitsilano,2023,78,0-99
Kitsilano,2024,57,0-99
Kitsilano,2025,72,0-99
Marpole,2003,85,0-99
Marpole,2004,61,0-99
Marpole,2005,73,0-99
Marpole,2006,94,0-99
Marpole,2007,96,0-99
Marpole,2008,80,0-99
Marpole,2009,81,0-99
Marpole,2010,89,0-99
Marpole,2011,81,0-99
Marpole,2012,66,0-99
Marpole,2013,62,0-99
Marpole,2014,57,0-99
Marpole,2015,64,0-99
Marpole,2016,55,0-99
Marpole,2017,63,0-99
Marpole,2018,61,0-99
Marpole,2019,76,0-99
Marpole,2020,76,0-99
Marpole,2021,71,0-99
Marpole,2022,79,0-99
Marpole,2023,85,0-99
Marpole,2024,60,0-99
Marpole,2025,56,0-99
Mount Pleasant,2003,200,100-499
Mount Pleasant,2004,320,100-499
Mount Pleasant,2005,216,100-499
Mount Pleasant,2006,272,100-499
Mount Pleasant,2007,210,100-499
Mount Pleasant,2008,206,100-499
Mount Pleasant,2009,192,100-499
Mount Pleasant,2010,175,100-499
Mount Pleasant,2011,183,100-499
Mount Pleasant,2012,166,100-499
Mount Pleasant,2013,161,100-499
Mount Pleasant,2014,171,100-499
Mount Pleasant,2015,155,100-499
Mount Pleasant,2016,152,100-499
Mount Pleasant,2017,155,100-499
Mount Pleasant,2018,145,100-499
Mount Pleasant,2019,162,100-499
Mount Pleasant,2020,171,100-499
Mount Pleasant,2021,189,100-499
Mount Pleasant,2022,184,100-499
Mount Pleasant,2023,177,100-499
Mount Pleasant,2024,176,100-499
Mount Pleasant,2025,135,100-499
Musqueam,2003,15,0-99
Musqueam,2004,14,0-99
Musqueam,2005,7,0-99
Musqueam,2006,17,0-99
Musqueam,2007,12,0-99
Musqueam,2008,8,0-99
Musqueam,2009,20,0-99
Musqueam,2010,22,0-99
Musqueam,2011,17,0-99
Musqueam,2012,13,0-99
Musqueam,2013,12,0-99
Musqueam,2014,21,0-99
Musqueam,2015,17,0-99
Musqueam,2016,12,0-99
Musqueam,2017,15,0-99
Musqueam,2018,10,0-99
Musqueam,2019,15,0-99
Musqueam,2020,14,0-99
Musqueam,2021,11,0-99
Musqueam,2022,10,0-99
Musqueam,2023,15,0-99
Musqueam,2024,14,0-99
Musqueam,2025,17,0-99
Oakridge,2003,44,0-99
Oakridge,2004,36,0-99
Oakridge,2005,38,0-99
Oakridge,2006,22,0-99
Oakridge,2007,42,0-99
Oakridge,2008,44,0-99
Oakridge,2009,33,0-99
Oakridge,2010,36,0-99
Oakridge,2011,42,0-99
Oakridge,2012,42,0-99
Oakridge,2013,36,0-99
Oakridge,2014,28,0-99
Oakridge,2015,28,0-99
Oakridge,2016,33,0-99
Oakridge,2017,23,0-99
Oakridge,2018,30,0-99
Oakridge,2019,20,0-99
Oakridge,2020,33,0-99
Oakridge,2021,24,0-99
Oakridge,2022,27,0-99
Oakridge,2023,30,0-99
Oakridge,2024,29,0-99
Oakridge,2025,27,0-99
Renfrew-Collingwood,2003,236,100-499
Renfrew-Collingwood,2004,265,100-499
Renfrew-Collingwood,2005,229,100-499
Renfrew-Collingwood,2006,278,100-499
Renfrew-Collingwood,2007,273,100-499
Renfrew-Collingwood,2008,244,100-499
Renfrew-Collingwood,2009,208,100-499
Renfrew-Collingwood,2010,217,100-499
Renfrew-Collingwood,2011,240,100-499
Renfrew-Collingwood,2012,214,100-499
Renfrew-Collingwood,2013,189,100-499
Renfrew-Collingwood,2014,145,100-499
Renfrew-Collingwood,2015,150,100-499
Renfrew-Collingwood,2016,132,100-499
Renfrew-Collingwood,2017,136,100-499
Renfrew-Collingwood,2018,121,100-499
Renfrew-Collingwood,2019,132,100-499
Renfrew-Collingwood,2020,128,100-499
Renfrew-Collingwood,2021,143,100-499
Renfrew-Collingwood,2022,146,100-499
Renfrew-Collingwood,2023,138,100-499
Renfrew-Collingwood,2024,131,100-499
Renfrew-Collingwood,2025,129,100-499
Riley Park,2003,76,0-99
Riley Park,2004,67,0-99
Riley Park,2005,71,0-99
Riley Park,2006,100,100-499
Riley Park,2007,94,0-99
Riley Park,2008,61,0-99
Riley Park,2009,50,0-99
Riley Park,2010,77,0-99
Riley Park,2011,54,0-99
Riley Park,2012,67,0-99
Riley Park,2013,67,0-99
Riley Park,2014,53,0-99
Riley Park,2015,41,0-99
Riley Park,2016,55,0-99
Riley Park,2017,38,0-99
Riley Park,2018,48,0-99
Riley Park,2019,39,0-99
Riley Park,2020,51,0-99
Riley Park,2021,38,0-99
Riley Park,2022,44,0-99
Riley Park,2023,45,0-99
Riley Park,2024,48,0-99
Riley Park,2025,27,0-99
Shaughnessy,2003,28,0-99
Shaughnessy,2004,25,0-99
Shaughnessy,2005,26,0-99
Shaughnessy,2006,32,0-99
Shaughnessy,2007,29,0-99
Shaughnessy,2008,27,0-99
Shaughnessy,2009,21,0-99
Shaughnessy,2010,22,0-99
Shaughnessy,2011,17,0-99
Shaughnessy,2012,13,0-99
Shaughnessy,2013,18,0-99
Shaughnessy,2014,13,0-99
Shaughnessy,2015,20,0-99
Shaughnessy,2016,14,0-99
Shaughnessy,2017,10,0-99
Shaughnessy,2018,21,0-99
Shaughnessy,2019,15,0-99
Shaughnessy,2020,18,0-99
Shaughnessy,2021,9,0-99
Shaughnessy,2022,20,0-99
Shaughnessy,2023,25,0-99
Shaughnessy,2024,15,0-99
Shaughnessy,2025,19,0-99
South Cambie,2003,20,0-99
South Cambie,2004,22,0-99
South Cambie,2005,13,0-99
South Cambie,2006,24,0-99
South Cambie,2007,15,0-99
South Cambie,2008,18,0-99
South Cambie,2009,14,0-99
South Cambie,2010,18,0-99
South Cambie,2011,17,0-99
South Cambie,2012,23,0-99
South Cambie,2013,11,0-99
South Cambie,2014,8,0-99
South Cambie,2015,16,0-99
South Cambie,2016,12,0-99
South Cambie,2017,14,0-99
South Cambie,2018,13,0-99
South Cambie,2019,16,0-99
South Cambie,2020,35,0-99
South Cambie,2021,24,0-99
South Cambie,2022,11,0-99
South Cambie,2023,21,0-99
South Cambie,2024,19,0-99
South Cambie,2025,9,0-99
Stanley Park,2003,13,0-99
Stanley Park,2004,16,0-99
Stanley Park,2005,15,0-99
Stanley Park,2006,27,0-99
Stanley Park,2007,13,0-99
Stanley Park,2008,22,0-99
Stanley Park,2009,19,0-99
Stanley Park,2010,17,0-99
Stanley Park,2011,8,0-99
Stanley Park,2012,19,0-99
Stanley Park,2013,14,0-99
Stanley Park,2014,24,0-99
Stanley Park,2015,12,0-99
Stanley Park,2016,12,0-99
Stanley Park,2017,9,0-99
Stanley Park,2018,14,0-99
Stanley Park,2019,16,0-99
Stanley Park,2020,13,0-99
Stanley Park,2021,6,0-99
Stanley Park,2022,12,0-99
Stanley Park,2023,17,0-99
Stanley Park,2024,17,0-99
Stanley Park,2025,16,0-99
Strathcona,2003,352,100-499
Strathcona,2004,374,100-499
Strathcona,2005,419,100-499
Strathcona,2006,422,100-499
Strathcona,2007,467,100-499
Strathcona,2008,473,100-499
Strathcona,2009,496,100-499
Strathcona,2010,454,100-499
Strathcona,2011,534,500-999
Strathcona,2012,499,100-499
Strathcona,2013,506,500-999
Strathcona,2014,436,100-499
Strathcona,2015,429,100-499
Strathcona,2016,472,100-499
Strathcona,2017,498,100-499
Strathcona,2018,465,100-499
Strathcona,2019,519,500-999
Strathcona,2020,582,500-999
Strathcona,2021,569,500-999
Strathcona,2022,556,500-999
Strathcona,2023,581,500-999
Strathcona,2024,537,500-999
Strathcona,2025,432,100-499
Sunset,2003,126,100-499
Sunset,2004,135,100-499
Sunset,2005,125,100-499
Sunset,2006,161,100-499
Sunset,2007,175,100-499
Sunset,2008,187,100-499
Sunset,2009,145,100-499
Sunset,2010,161,100-499
Sunset,2011,149,100-499
Sunset,2012,132,100-499
Sunset,2013,126,100-499
Sunset,2014,97,0-99
Sunset,2015,100,100-499
Sunset,2016,99,0-99
Sunset,2017,94,0-99
Sunset,2018,67,0-99
Sunset,2019,84,0-99
Sunset,2020,92,0-99
Sunset,2021,98,0-99
Sunset,2022,98,0-99
Sunset,2023,92,0-99
Sunset,2024,74,0-99
Sunset,2025,77,0-99
Victoria-Fraserview,2003,80,0-99
Victoria-Fraserview,2004,98,0-99
Victoria-Fraserview,2005,105,100-499
Victoria-Fraserview,2006,111,100-499
Victoria-Fraserview,2007,104,100-499
Victoria-Fraserview,2008,97,0-99
Victoria-Fraserview,2009,114,100-499
Victoria-Fraserview,2010,83,0-99
Victoria-Fraserview,2011,85,0-99
Victoria-Fraserview,2012,71,0-99
Victoria-Fraserview,2013,87,0-99
Victoria-Fraserview,2014,77,0-99
Victoria-Fraserview,2015,64,0-99
Victoria-Fraserview,2016,38,0-99
Victoria-Fraserview,2017,47,0-99
Victoria-Fraserview,2018,44,0-99
Victoria-Fraserview,2019,50,0-99
Victoria-Fraserview,2020,45,0-99
Victoria-Fraserview,2021,48,0-99
Victoria-Fraserview,2022,56,0-99
Victoria-Fraserview,2023,53,0-99
Victoria-Fraserview,2024,55,0-99
Victoria-Fraserview,2025,56,0-99
West End,2003,341,100-499
West End,2004,356,100-499
West End,2005,371,100-499
West End,2006,469,100-499
West End,2007,476,100-499
West End,2008,448,100-499
West End,2009,354,100-499
West End,2010,373,100-499
West End,2011,360,100-499
West End,2012,378,100-499
West End,2013,347,100-499
West End,2014,347,100-499
West End,2015,351,100-499
West End,2016,369,100-499
West End,2017,394,100-499
West End,2018,360,100-499
West End,2019,387,100-499
West End,2020,458,100-499
West End,2021,534,500-999
West End,2022,486,100-499
West End,2023,484,100-499
West End,2024,450,100-499
West End,2025,371,100-499
West Point Grey,2003,18,0-99
West Point Grey,2004,29,0-99
West Point Grey,2005,26,0-99
West Point Grey,2006,33,0-99
West Point Grey,2007,37,0-99
West Point Grey,2008,28,0-99
West Point Grey,2009,25,0-99
West Point Grey,2010,30,0-99
West Point Grey,2011,29,0-99
West Point Grey,2012,25,0-99
West Point Grey,2013,15,0-99
West Point Grey,2014,15,0-99
West Point Grey,2015,24,0-99
West Point Grey,2016,16,0-99
West Point Grey,2017,24,0-99
West Point Grey,2018,15,0-99
West Point Grey,2019,23,0-99
West Point Grey,2020,19,0-99
West Point Grey,2021,24,0-99
West Point Grey,2022,18,0-99
West Point Grey,2023,24,0-99
West Point Grey,2024,12,0-99
West Point Grey,2025,19,0-99
